influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		
0.000000000000000000e+00 9.353071711686780084e-06 1.589122917488235975e+00 2.312495689297219140e-11 3.020798787886137360e-12 1.221697372571013185e+00 0.000000000000000000e+00 4.348939212728299974e-01 7.183134819248505713e-03 4.066340031972310101e-03 3.213891993965729998e+00 8.657487775806745889e-01 0.000000000000000000e+00 2.956416630035763672e-05 6.565445674374228204e-08 9.219517241945157258e-04 1.178552315595829449e-11 6.253787536725052421e-06 0.000000000000000000e+00 9.058736630583631211e+00 1.653653613076910292e-06 3.139666182038503705e-05 5.123812427553690452e-07 9.208919989750464552e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.098109640980486909e-06 1.418946848427495855e+00 1.879110232514087466e-12 2.086361708310769583e-11 1.432200096879439943e+00 0.000000000000000000e+00 7.412988718791965193e-01 6.386682881636328475e-03 9.308288789798484925e-03 3.199414813898137755e+00 9.410221771518069156e-01 0.000000000000000000e+00 4.936556430233792289e-05 1.664064494100250673e-07 1.223840699802311712e-03 1.481020286839325037e-11 1.775490628844584340e-05 0.000000000000000000e+00 9.097845456698099298e+00 8.814703422580155938e-07 1.235752349549313162e-05 4.833502591418142631e-07 9.895171211447770787e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.614493505678386851e-07 1.225224157148144810e+00 1.487978241171982652e-12 1.492001896995559095e-10 8.987009817835556191e-01 0.000000000000000000e+00 7.781969627918007282e-01 2.392302284629159014e-03 3.944465420010717475e-03 2.439409598134861135e+00 1.016483798968130792e+00 0.000000000000000000e+00 1.528606054709995060e-04 1.789944412959355620e-06 2.457746623582582508e-03 3.119721016903531269e-11 2.964197155121967286e-05 0.000000000000000000e+00 9.804193182219405500e+00 1.600565917077670066e-06 1.930654530795424600e-05 6.559425581688029171e-07 9.822127907496861710e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.788571792677908012e-07 1.966519865883012308e+00 7.456368575388391235e-13 6.002795710629276730e-10 1.377748433165697062e+00 0.000000000000000000e+00 1.253398850787372343e+00 2.578536977654685269e-03 4.353170529922234522e-03 2.791703246746316758e+00 6.716096705554724933e-01 0.000000000000000000e+00 7.009113359601261721e-04 2.885348086116013316e-06 5.862102311292658428e-03 1.966664397129095825e-11 1.258050719468346212e-05 0.000000000000000000e+00 9.894064265806845171e+00 8.517048427047752708e-07 1.192546910302522702e-05 7.361267149028871423e-06 9.886800767808940904e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.086936407327783194e-05 1.657562962855694488e+00 5.474002211295679923e-13 3.666172098323767359e-11 7.173688164854231664e-01 0.000000000000000000e+00 5.683274082333111821e-01 1.538686489895798020e-03 7.411893687459063761e-03 2.637255746565181802e+00 6.120928460172674335e-01 0.000000000000000000e+00 2.014996069039108920e-04 2.055266269224755824e-07 1.071482484143229837e-02 1.788637986326305098e-11 9.285831975317291494e-06 0.000000000000000000e+00 9.869813308562758181e+00 3.557816045099618828e-06 6.390280634341861109e-06 1.175802662578584896e-04 9.955058691935652959e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.672937868272054873e-05 1.436765345968135321e+00 1.225345470145134043e-13 8.357293860082507260e-11 1.319605778999823453e+00 0.000000000000000000e+00 1.131975363369299270e+00 4.964773412303357053e-04 5.901854570435145948e-03 2.327234442202771092e+00 1.002480103809760825e+00 0.000000000000000000e+00 3.022390116819298825e-04 1.783662312012104678e-07 1.196285064263091780e-02 8.721435382863410538e-12 2.879338179076413437e-05 0.000000000000000000e+00 9.780701861053485047e+00 6.695822902363670186e-07 3.879639700305726908e-06 2.600831014197688877e-04 9.841276693386818764e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.054089880784741607e-03 1.660708085461433781e+00 1.423818158346129473e-13 3.298370950385812339e-11 3.359127661121394937e-01 0.000000000000000000e+00 8.638555341000303534e-01 5.868073565403113343e-04 2.792110710567038794e-03 1.899798017698692609e+00 9.629992521695867058e-01 0.000000000000000000e+00 7.390884099550837914e-05 6.753037737826352097e-09 1.807799852234164562e-01 3.769506784941229223e-11 1.193377962798246967e-04 0.000000000000000000e+00 9.107521988796495549e+00 8.590200649281251849e-06 7.881001230886331918e-06 1.089800580243989936e-03 9.588578691143688104e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.326111160481107283e-04 1.598041729028907065e+00 1.451232878258178514e-13 9.784636282677882469e-10 1.156122370095442609e+00 0.000000000000000000e+00 1.320391130439132477e+00 4.199672052472204638e-04 8.998518756846483543e-03 1.842790411766366931e+00 1.012926453417523742e+00 0.000000000000000000e+00 1.472352026537944707e-04 9.351377568207386696e-08 7.240642153126949365e-01 1.406122786759899800e-12 1.005474699642139731e-04 0.000000000000000000e+00 9.652679702959224173e+00 2.486846354731458551e-06 3.832950706916877690e-06 1.595546518726076836e-03 9.987203839392627458e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.481322719231438077e-04 1.510652389025330500e+00 2.496960245997527408e-13 8.589475490253979517e-11 8.965141443290522982e-01 0.000000000000000000e+00 7.678808965549837051e-01 1.117880393494309968e-02 5.449746923792497463e-03 2.169083299976196422e+00 6.774277510853071727e-01 0.000000000000000000e+00 1.610676912358235252e-04 1.929761997143981500e-07 5.210935406026901973e-01 2.010326295206110921e-13 3.419637961028352711e-04 0.000000000000000000e+00 9.898133843188212211e+00 2.985042890763166682e-06 9.613470162243600662e-07 9.550377845894299353e-04 9.960273608678980040e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.035905494412157804e-04 1.662294516977099290e+00 1.031105496890078614e-13 9.399795192330070410e-11 1.003586550858218907e+00 0.000000000000000000e+00 1.574436591099031002e+00 5.290523718919933754e-02 4.018714476825142358e-03 2.358910953629319351e+00 1.016323370106032797e+00 0.000000000000000000e+00 3.138902100992580781e-04 6.111034623053310920e-06 5.793311871148594250e-01 1.657966924211749832e-13 2.483989290327820085e-04 0.000000000000000000e+00 9.890773471236988357e+00 3.594807631889665091e-06 5.164354733356311677e-07 1.169444921598840597e-03 9.981852720522056188e+00 0.000000000000000000e+00
