log.prior	log.likelihood	log.likelihood.test.set
-1.119780678923830237e+03 -1.727312536575603735e+04 -6.865086239640061194e+02
-1.126336966208434205e+03 -1.726837009760872024e+04 -6.836528544817142574e+02
-1.126902615093091981e+03 -1.726975800127795810e+04 -6.833849197524147030e+02
-1.135896738733856864e+03 -1.727249541629988380e+04 -6.845994332613908000e+02
-1.154379130455361064e+03 -1.725493455410817478e+04 -6.845199639416396167e+02
-1.142955285017137157e+03 -1.726442209566244128e+04 -6.858285450039065836e+02
-1.157099988700136009e+03 -1.725057955498603405e+04 -6.851073371517070427e+02
-1.167041078075686073e+03 -1.725142187366240614e+04 -6.851626348058830445e+02
-1.172743907314464195e+03 -1.724660582221389996e+04 -6.854505242602378985e+02
-1.179128251971247892e+03 -1.724404566777452783e+04 -6.851773700940161689e+02
-1.187412227715776908e+03 -1.725194245081413101e+04 -6.839843711037317462e+02
-1.205008354022682624e+03 -1.725365789182533626e+04 -6.866460554347358993e+02
-1.196786071002464269e+03 -1.724011991644615409e+04 -6.829327643178016842e+02
-1.188352512045931462e+03 -1.723507677737941049e+04 -6.830631913531699411e+02
-1.196513209776119538e+03 -1.723674386575059543e+04 -6.831814194440436268e+02
-1.162920213313290105e+03 -1.722862721255972065e+04 -6.839202243166538437e+02
-1.146864016320191695e+03 -1.723845704867612585e+04 -6.856232556100871989e+02
-1.130739709964195299e+03 -1.724381935510209951e+04 -6.860591935265015309e+02
-1.117854199997975456e+03 -1.725707710594739183e+04 -6.879490001201395444e+02
-1.114164585766675600e+03 -1.726618728430025294e+04 -6.878032463346821714e+02
-1.124039263264798137e+03 -1.724624415084724387e+04 -6.847295890598367123e+02
-1.122876717783138702e+03 -1.724739323308666644e+04 -6.837010557136804891e+02
-1.150307463168440563e+03 -1.724283149163073176e+04 -6.847605631891225357e+02
-1.145430709754247573e+03 -1.723960916902678218e+04 -6.836048455555391001e+02
-1.143718871068302406e+03 -1.723716586297996400e+04 -6.840509854439550281e+02
-1.155005981785650192e+03 -1.723017715576668343e+04 -6.830145816317090066e+02
-1.141424610902779023e+03 -1.723953422922763275e+04 -6.824817274570991685e+02
-1.146938216949451316e+03 -1.723813495782181417e+04 -6.830927644565756509e+02
-1.154410056175745240e+03 -1.723769347658422339e+04 -6.814739892375550880e+02
-1.160056297070238088e+03 -1.723197636855965902e+04 -6.807957556881003711e+02
-1.148446951958333784e+03 -1.725285835622107697e+04 -6.799735141823597360e+02
-1.158633274610341459e+03 -1.724614835120759381e+04 -6.793280429393357736e+02
-1.149817671652268245e+03 -1.725050489620802909e+04 -6.798943521673062378e+02
-1.150583495634281235e+03 -1.725804121109536936e+04 -6.793243784099211098e+02
-1.139461518662701792e+03 -1.725141714140735348e+04 -6.801346137592112200e+02
-1.136532269000510269e+03 -1.724984476567606544e+04 -6.795578644964009527e+02
-1.157078365992178078e+03 -1.723533908521373814e+04 -6.791584599067887211e+02
-1.146304104963580357e+03 -1.724743964791337203e+04 -6.787509113970653516e+02
-1.154769573055560159e+03 -1.724483162688442826e+04 -6.802041686676122936e+02
-1.163136325607146318e+03 -1.724737793901332770e+04 -6.801650387740771748e+02
-1.158273818991800681e+03 -1.724881987721576297e+04 -6.801962623638794412e+02
-1.155027596922519479e+03 -1.724247454059998927e+04 -6.810366868992498439e+02
-1.140208978939814187e+03 -1.725729041990600308e+04 -6.818361111997867283e+02
-1.120545405840539615e+03 -1.726954353032979634e+04 -6.819978988329556842e+02
-1.123617355974075963e+03 -1.727497522203560220e+04 -6.834684873008670820e+02
-1.138197106419434931e+03 -1.726659057323564775e+04 -6.832272690629905583e+02
-1.156863217785278721e+03 -1.726045202753778722e+04 -6.822199018736012022e+02
-1.151026503667985253e+03 -1.726055619400266005e+04 -6.817175229755247301e+02
-1.129850385650638827e+03 -1.727412542248009413e+04 -6.835771139687940376e+02
-1.139740638437297775e+03 -1.727725753997066931e+04 -6.847113153678710660e+02
-1.117302153446874399e+03 -1.727645817678744424e+04 -6.861675483745285646e+02
-1.129121540166403292e+03 -1.727185197112758397e+04 -6.858509035431177381e+02
-1.134152837516378668e+03 -1.727182245036341192e+04 -6.865483173289314891e+02
-1.143234841118384111e+03 -1.726700966163252087e+04 -6.864578985726577685e+02
-1.159086017085369122e+03 -1.725613780340662561e+04 -6.861836938142810141e+02
-1.175327452244164988e+03 -1.725188575807054804e+04 -6.860838507282403498e+02
-1.157142020122849090e+03 -1.725844901671104162e+04 -6.847102484371202991e+02
-1.149385865547403000e+03 -1.726287502870034587e+04 -6.858075065593934596e+02
-1.133928496884405149e+03 -1.727247405999617331e+04 -6.866086534805685915e+02
-1.134579199405072131e+03 -1.728415267776308247e+04 -6.887168256693039439e+02
-1.128144615519437139e+03 -1.728071902147513538e+04 -6.880280995610842183e+02
-1.141376212622310732e+03 -1.727162655805597751e+04 -6.869061415449258448e+02
-1.136550086380557332e+03 -1.727749954251147210e+04 -6.869061326103307010e+02
-1.155554923680128695e+03 -1.726515737473433182e+04 -6.852312767298853942e+02
-1.152890668962699237e+03 -1.726938297261506159e+04 -6.855703105194069167e+02
-1.147438366924231332e+03 -1.726466944271959437e+04 -6.855409245800692588e+02
-1.147147848897398035e+03 -1.726904486021436242e+04 -6.856620287902763948e+02
-1.149201695301196878e+03 -1.727500705618694337e+04 -6.832915035298570956e+02
-1.142437098762388587e+03 -1.727603886092428002e+04 -6.841245707701534684e+02
-1.138008580644681388e+03 -1.729071391313314234e+04 -6.865558548911210437e+02
-1.131537406997464586e+03 -1.728486280401250406e+04 -6.858488963594660390e+02
-1.140195590821522273e+03 -1.727828994936234812e+04 -6.843975046472514805e+02
-1.145654758890679659e+03 -1.726949961874613655e+04 -6.836018622163892360e+02
-1.149905035778694582e+03 -1.726032506161743731e+04 -6.838654636565430565e+02
-1.159315583106340000e+03 -1.726584003244360065e+04 -6.833449236740667629e+02
-1.162454139270477071e+03 -1.725298594874666378e+04 -6.819847835754738981e+02
-1.153007039676683235e+03 -1.726207339270732336e+04 -6.838778485696030884e+02
-1.168933399993819194e+03 -1.725139346460388697e+04 -6.831137881884645822e+02
-1.160361867895153182e+03 -1.725850867910738452e+04 -6.829760262790863408e+02
-1.149670556084542341e+03 -1.725750028833445322e+04 -6.831837833657426700e+02
-1.145307160735772868e+03 -1.725131244771431011e+04 -6.827245908134929095e+02
-1.158834745501460930e+03 -1.724875184941700354e+04 -6.849262112097750332e+02
-1.179600984351175157e+03 -1.724272782526606534e+04 -6.811322485583089019e+02
-1.185727023469268488e+03 -1.724083077905069149e+04 -6.812825968567142354e+02
-1.190906624838787366e+03 -1.722476736552582224e+04 -6.809645951345360118e+02
-1.194847001319953279e+03 -1.721773163543884948e+04 -6.819192257707736644e+02
-1.184658900650043506e+03 -1.722456563146767803e+04 -6.807382286223335086e+02
-1.174829613549085934e+03 -1.722874548481829697e+04 -6.815156506392168012e+02
-1.157378143863153582e+03 -1.723875464733278932e+04 -6.820628753533104600e+02
-1.158890402096913022e+03 -1.724862476429596791e+04 -6.848688396778741208e+02
-1.147326002706496411e+03 -1.724102098739736175e+04 -6.838364326842033734e+02
-1.155953080642242639e+03 -1.724532336431160729e+04 -6.841267589762048829e+02
-1.162901584509741497e+03 -1.724634596167956988e+04 -6.836247052226219694e+02
-1.142024498729805600e+03 -1.725195165861988062e+04 -6.836504901679668365e+02
-1.141952836234586357e+03 -1.724164349857256821e+04 -6.819138240637303170e+02
-1.144492219415148384e+03 -1.724963374019945695e+04 -6.834309491017588698e+02
-1.152162397527312578e+03 -1.725733209571394400e+04 -6.832003656533109961e+02
-1.158217752333725684e+03 -1.725537076508493192e+04 -6.828546686201425473e+02
-1.142012230075076332e+03 -1.726583347599713306e+04 -6.838834281970500797e+02
-1.145693165092229265e+03 -1.726795017174924942e+04 -6.834287850644261653e+02
-1.142771603477728377e+03 -1.727474130381418945e+04 -6.835975226156135705e+02
-1.139539097854726833e+03 -1.726785135772360081e+04 -6.842892049124830010e+02
-1.142093601504541994e+03 -1.727117614195649367e+04 -6.845929579357925832e+02
-1.150745184198817242e+03 -1.725270815131513518e+04 -6.827732829771363186e+02
-1.158034383994059681e+03 -1.725595921572382576e+04 -6.843296094703841845e+02
-1.151173752347025129e+03 -1.725416772602885612e+04 -6.831615842457620147e+02
-1.163028303338875730e+03 -1.725721295078577532e+04 -6.834324009234262576e+02
-1.156235392998944008e+03 -1.727019286687442582e+04 -6.850702187414484570e+02
-1.161021823248604505e+03 -1.725848883467392807e+04 -6.843385863578694170e+02
-1.166922319508813644e+03 -1.726009025751335139e+04 -6.836915093734456832e+02
-1.153115850660426077e+03 -1.725678319310921870e+04 -6.831877353907343604e+02
-1.143840530312225610e+03 -1.726669739753082104e+04 -6.847089863289533014e+02
-1.160248479135910657e+03 -1.726533099498109732e+04 -6.853133753331851494e+02
-1.170511001469813209e+03 -1.725432661389090208e+04 -6.821828694939640627e+02
-1.167344835702241880e+03 -1.724358803292145967e+04 -6.839058317265540836e+02
-1.148565522968213145e+03 -1.726114597285021591e+04 -6.839694400408047841e+02
-1.161949624168469882e+03 -1.725286457920549947e+04 -6.841114315083847259e+02
-1.158178722819626273e+03 -1.725769792886161667e+04 -6.847704833808628564e+02
-1.161476602897286739e+03 -1.725082886063095066e+04 -6.839010916912199036e+02
-1.163934488770855523e+03 -1.723818487865630959e+04 -6.833105459835885540e+02
-1.170136564715340000e+03 -1.724406234618677991e+04 -6.846049644733830064e+02
-1.175693795806015714e+03 -1.723140358082932653e+04 -6.831606890833222678e+02
-1.186172429508765845e+03 -1.722471625239716013e+04 -6.820394125955184563e+02
-1.176777676309800199e+03 -1.724386161942471517e+04 -6.843614796934248261e+02
-1.181391621115567887e+03 -1.724217200119112022e+04 -6.840703093900368685e+02
