time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	
9.266785672112642658e+01 1.127633703501918632e+02 1.090998057050673822e+02 1.019070498747381350e+02 1.081168394083859994e+02
8.705779703614346943e+01 1.125408542956892433e+02 1.095394135776060551e+02 1.236064413937772031e+02 1.103308147765812350e+02
9.197796576889311382e+01 8.193212393414061978e+01 9.919401471091481426e+01 1.237927986237068154e+02 1.071397670236463995e+02
8.981391311216532358e+01 1.065378803148934139e+02 1.047314869242266013e+02 8.437911958020298187e+01 1.089260738289643484e+02
8.704246406925612689e+01 9.878079881710127097e+01 8.568753942101285759e+01 8.477151119930148582e+01 1.024235537182390487e+02
8.437651396141922078e+01 9.983451073735984949e+01 8.493184906654386168e+01 1.012669838264133233e+02 1.133383269052043687e+02
9.272811731433066029e+01 9.205457385721905439e+01 7.812699372133567977e+01 1.054754990294066772e+02 1.051707053101964817e+02
8.969136647205087343e+01 1.054851985769589078e+02 8.877291341255426005e+01 9.678102506836907537e+01 1.120047424537771832e+02
1.086188355085255068e+02 9.653210376490426370e+01 8.699864241674751497e+01 1.071222848366982134e+02 1.042754759502965527e+02
7.524189957076350765e+01 9.282606023709509202e+01 1.056866814118069300e+02 9.650309788332887706e+01 1.141112675180018385e+02
8.484534137243907992e+01 8.538160595143560272e+01 1.069448993123628497e+02 1.119634352478806960e+02 8.667836095051904977e+01
9.415458459405924430e+01 8.331516321946898529e+01 1.040582416602707383e+02 9.344588981241068382e+01 1.183832513562785067e+02
1.077886878622112619e+02 9.103975804293943952e+01 7.895887760437462077e+01 1.300932784257256571e+02 1.113190112354865988e+02
9.546267086713541516e+01 1.088380983526924695e+02 8.325552378697028644e+01 1.197356054721753509e+02 1.019953665698447196e+02
9.304313428276986997e+01 7.925913267475095836e+01 7.837725369506435413e+01 1.080255001330919953e+02 1.015287591437170249e+02
7.622033507110607786e+01 8.799781865551852889e+01 8.105908147638254491e+01 1.039606027215689181e+02 1.042324457186907267e+02
8.942224484293430464e+01 1.115825241950401505e+02 8.454721594909059945e+01 1.049117413937465386e+02 9.532705933788258790e+01
7.907408038818573459e+01 1.118607539295933151e+02 8.067020101381099551e+01 1.193484600676204650e+02 1.078383337433588736e+02
8.860652296288355956e+01 1.069789231631646942e+02 9.559922374165287806e+01 1.215454722911528336e+02 1.083116272493515169e+02
8.771702869632706268e+01 1.002360511589115646e+02 7.897006391113318102e+01 9.867064255982900534e+01 1.086405252654808464e+02
9.566492919629685332e+01 1.067516741370315145e+02 9.376964124018638813e+01 1.036902003612657097e+02 1.085905081121186555e+02
1.050432515452199311e+02 9.930981564104915549e+01 1.037264830576615680e+02 1.063938598110726446e+02 1.043444493793878109e+02
1.039161699774963239e+02 9.335834289380871098e+01 9.734048494619348446e+01 1.024467972061131320e+02 1.060100367583469847e+02
1.021920611836854818e+02 7.346908903193238416e+01 9.310754346266080006e+01 1.174285696708121804e+02 9.492238260503549441e+01
8.891783892354862928e+01 1.141206563006956571e+02 9.349146124155078041e+01 9.131181898991854951e+01 9.109451052493085399e+01
9.071987880468620347e+01 9.580497628814143241e+01 8.649031588359514444e+01 9.194998233772861340e+01 1.042495837904303926e+02
1.035268851080573143e+02 1.076242257539517198e+02 9.577517031262036085e+01 1.003502181304261001e+02 1.002159116763692026e+02
