word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	
9.983958580507378500e+00 9.916352491616226672e+00 9.976646780529989655e+00 8.849222903712197663e+00 7.471269000108373248e+00
9.931151261950226683e+00 9.916583849540005602e+00 9.983279099374778198e+00 9.583899626759079027e+00 8.502194592706851850e+00
9.901804491527977703e+00 9.974698540402137326e+00 9.961513797040780105e+00 8.499271244743288989e+00 9.097458406431195854e+00
9.676195485744074176e+00 9.841620665305818250e+00 9.997651116805105431e+00 8.551362518941239443e+00 6.138600488074412276e+00
9.895407763565827963e+00 9.866978226153483078e+00 9.965607130677634373e+00 7.526348531794681662e+00 9.561104277787057626e+00
9.859342065487744833e+00 9.593965366483669044e+00 9.958490276647440353e+00 5.815959221937079704e+00 9.352548281911523986e+00
9.913392142343552038e+00 9.948704080233270020e+00 9.980475472951896521e+00 4.537083296273324073e+00 9.281424767253716013e+00
9.950595855841603665e+00 9.926017461294836863e+00 9.906439354472846404e+00 8.363674754653258603e+00 9.058789104863830488e+00
9.967461941157898409e+00 9.899501660498467359e+00 9.978006654923349927e+00 6.471053779290983243e+00 8.220049834058400506e+00
9.962503780415143950e+00 9.905692912028381869e+00 9.989636294239829795e+00 7.665555990710779533e+00 8.816285701298943067e+00
9.999019972272744639e+00 9.911567975508214445e+00 9.974631026557602809e+00 8.148976758032707934e+00 7.317669071353997801e+00
9.960977156566798385e+00 9.888431374180948197e+00 9.923103530849466836e+00 9.875987893855354471e+00 7.580302715054292761e+00
9.920891090723896966e+00 9.932195556503758738e+00 9.894047381159579047e+00 9.373306587349411245e+00 7.109380352752786791e+00
9.962388628146360503e+00 9.859219617812515324e+00 9.887036521279048529e+00 9.984059709836547114e+00 9.755246694129702689e+00
9.980717487706829871e+00 9.723973117606352190e+00 9.954074891390980895e+00 9.832243626710592821e+00 8.199861213519524128e+00
9.986326594016839309e+00 9.875062140504395458e+00 9.977720475320275284e+00 9.270194192054496796e+00 7.191212081174292337e+00
9.891680135535700913e+00 9.885965535409184213e+00 9.960948813810176716e+00 9.664767456450539029e+00 6.769725955190155631e+00
9.873834391974583014e+00 9.897210388130581293e+00 9.928050677028046778e+00 8.509282895132951552e+00 8.138119221534271475e+00
