sender	time
2 0.01
4 1.18
3 1.20
4 1.24
2 1.26
4 1.30
2 1.32
3 2.38
2 4.25
1 4.44
2 6.61
3 6.66
2 8.37
1 8.72
2 10.38
1 10.43
2 10.78
1 10.94
2 11.86
3 11.91
1 12.52
3 12.57
1 13.73
3 13.81
1 13.85
3 13.88
2 14.54
1 14.56
3 15.93
1 15.95
3 16.06
1 16.13
3 16.17
1 16.37
5 16.40
3 16.43
1 16.48
3 16.57
2 17.67
1 17.70
3 17.80
1 17.85
3 17.92
1 17.97
3 17.99
1 18.04
3 18.14
1 18.21
3 18.83
1 18.98
5 19.03
1 19.05
3 19.16
1 19.18
3 19.29
1 19.49
3 19.51
1 19.63
3 19.68
1 19.71
3 19.76
1 19.79
3 19.85
1 19.87
3 19.91
1 20.25
3 20.29
1 20.34
3 20.39
1 20.53
5 20.58
2 20.60
3 20.64
2 20.69
3 20.73
1 21.17
2 22.21
3 22.38
2 22.44
3 22.52
1 22.62
3 22.64
1 22.87
3 22.95
2 23.35
1 23.40
5 23.46
2 23.49
1 23.55
2 23.65
1 23.70
2 23.75
1 23.80
2 24.08
3 24.12
2 24.19
1 24.22
3 24.30
1 24.37
3 24.53
2 24.63
1 25.11
2 27.00
3 27.12
1 27.26
3 27.28
4 27.33
3 27.35
1 27.48
2 27.57
1 27.65
3 27.66
1 27.96
3 28.01
1 28.30
5 28.40
2 28.42
3 28.48
1 28.58
3 28.64
1 28.67
3 28.70
2 29.46
1 29.50
2 30.59
1 30.95
2 32.04
1 32.08
2 32.10
1 32.27
4 33.01
1 33.04
2 33.45
1 33.48
2 33.58
3 33.80
1 34.94
3 34.97
2 35.94
3 36.05
2 36.35
1 36.37
2 39.36
3 39.44
4 39.56
1 39.59
3 39.64
1 40.45
3 40.53
1 40.56
3 40.61
1 41.34
3 41.37
2 41.52
3 41.56
1 41.61
2 43.53
3 44.14
2 45.90
1 45.99
2 48.21
1 48.39
2 48.72
1 48.79
2 49.94
1 49.96
2 50.23
3 50.25
1 50.43
3 50.45
2 52.85
3 53.04
2 54.02
1 54.05
2 54.09
1 54.11
3 56.03
1 56.22
3 56.27
1 56.31
3 56.37
2 57.15
1 57.26
2 57.32
1 57.35
2 57.39
1 57.46
2 57.95
5 57.99
3 58.01
1 58.06
2 58.57
3 58.60
4 58.85
2 58.87
1 59.19
2 59.98
5 60.01
1 60.03
2 60.30
1 60.55
2 60.57
1 60.66
2 61.33
5 61.58
1 61.61
2 62.22
3 62.24
4 62.30
3 62.32
2 63.67
1 63.76
2 65.80
3 66.13
5 66.77
3 66.79
2 67.98
3 68.02
2 68.17
1 68.30
2 70.85
3 70.87
2 72.20
1 72.68
2 73.81
3 73.84
1 73.95
3 73.97
1 74.03
3 74.05
2 76.01
1 76.03
2 76.07
1 76.10
3 78.73
1 78.76
3 78.80
1 78.84
2 79.19
1 79.33
2 79.38
1 79.40
2 79.55
1 79.60
2 79.65
1 79.70
2 79.80
1 79.86
2 79.91
1 79.95
2 80.56
1 80.60
2 81.73
1 81.82
2 81.89
1 81.98
4 82.14
1 82.16
2 82.56
1 82.58
2 82.83
3 82.85
4 82.88
3 82.90
1 84.41
3 84.45
1 84.56
3 84.60
1 85.05
3 85.07
1 85.11
3 85.14
1 85.53
3 85.62
4 85.70
1 85.72
2 86.72
1 86.76
2 86.99
1 87.01
2 87.13
1 87.41
2 89.47
1 89.50
2 89.65
3 89.73
2 91.67
3 91.71
2 91.76
1 91.79
2 91.85
1 91.88
2 92.28
1 92.31
2 92.57
1 92.60
2 92.66
1 92.71
2 93.19
1 93.44
2 93.67
1 93.76
2 94.37
3 94.41
4 94.68
1 94.71
4 94.93
1 94.95
2 95.37
4 95.43
3 95.46
2 95.51
3 95.58
1 95.79
3 95.83
1 95.92
3 95.96
1 96.25
3 96.32
1 96.36
3 96.40
1 96.47
3 96.50
1 96.55
4 96.61
2 96.63
1 96.72
2 97.09
1 97.12
2 97.77
1 97.83
4 97.94
2 97.96
3 98.13
2 98.65
1 98.77
2 99.15
1 99.20
4 99.43
2 99.45
